,STATE,TIME,TSO4,TNO3,TNH4,CA,MG,NA,K,CL,NSO4,NHNO3,WSO2,WNO3,TOTAL_SO2,TOTAL_NO3,YEAR,MONTH
0,AL,8-Jan,2.2126799999999998,2.49736,1.4394,0.14445999999999998,0.030060000000000003,0.13054000000000002,0.056760000000000005,0.08616,0.86524,0.73974,5.6761,,6.25324,3.22534,8,Jan
1,AL,9-Jan,2.65165,3.1106,1.832225,0.204625,0.025675,0.098625,0.11855,0.085925,0.930625,0.631375,3.4113,,4.03205,3.731975,9,Jan
2,AL,10-Jan,2.355475,2.932625,1.6543,0.2031,0.022125,0.063375,0.064675,0.08005,0.859575,0.5728,3.277725,,3.85105,3.496325,10,Jan
3,AL,11-Jan,2.1864,2.898575,1.610325,0.172875,0.0191,0.0498,0.072375,0.058825,0.72685,0.466125,2.024775,,2.5096,3.357275,11,Jan
4,AL,12-Jan,1.5708600000000001,1.3596,0.8393799999999999,0.18886,0.03274,0.15404,0.07582,0.12242,0.5975199999999999,0.65872,0.8230200000000001,,1.2216,2.00782,12,Jan
5,AL,13-Jan,1.966,2.2620400000000003,1.26544,0.16877999999999999,0.04602,0.28336,0.06874,0.28581999999999996,0.68724,0.52712,0.86856,,1.3269600000000001,2.78078,13,Jan
6,AL,14-Jan,0.901566667,1.3823,0.6556,0.301,0.028566667,0.060866667,0.064533333,0.0363,0.5691,0.686133333,2.359666667,,2.739266667,2.0575333330000003,14,Jan
7,AL,15-Jan,1.55395,1.89075,1.018775,0.2109,0.022725,0.0636,0.074025,0.073875,0.613125,0.604425,1.2206,,1.629525,2.48555,15,Jan
8,AL,16-Jan,1.275325,1.701275,0.848075,0.151775,0.024425,0.119575,0.04535,0.10245,0.5118,0.684675,0.800675,,1.1421,2.37505,16,Jan
9,AL,17-Jan,1.17696,1.3748799999999999,0.59726,0.171,0.04498,0.2788,0.07122,0.15224000000000001,0.45303999999999994,0.49596,0.5682,,0.8704,1.8629,17,Jan
10,AL,18-Jan,0.9537399999999999,1.8899599999999999,0.7799,0.2013,0.03044,0.13952,0.06506,0.10528,0.35762,0.6644399999999999,0.70292,,0.9414399999999999,2.54382,18,Jan
11,AL,8-Oct,2.716275,1.035225,1.060075,0.246175,0.051375,0.222175,0.091325,0.110975,1.01515,1.32835,2.909625,,3.586725,2.3425,8,Oct
12,AL,9-Oct,2.048425,0.574675,0.84815,0.072025,0.01685,0.069225,0.0719,0.034625,0.64635,0.61525,0.9413,,1.37245,1.18015,9,Oct
13,AL,10-Oct,2.243975,0.656275,0.868475,0.52575,0.07355,0.095125,0.12055,0.05145,0.6097,1.286675,2.10485,,2.511475,1.92245,10,Oct
14,AL,11-Oct,1.8454,0.7651,0.759025,0.365175,0.055225,0.1459,0.111025,0.121275,0.66595,1.0539,1.4366,,1.880825,1.8023,11,Oct
15,AL,12-Oct,1.82928,0.8810399999999999,0.7117399999999999,0.38808000000000004,0.05338,0.13182,0.1111,0.054439999999999995,0.60598,0.7933,0.55094,,0.9551,1.66172,12,Oct
16,AL,13-Oct,1.8447,0.6494,0.8062600000000001,0.21128000000000002,0.030560000000000004,0.08386,0.08776,0.033319999999999995,0.47841999999999996,0.875,0.4149,,0.7340000000000001,1.5104799999999998,13,Oct
17,AL,14-Oct,1.7099,0.44655,0.59885,0.26755,0.036675,0.08375,0.087375,0.0332,0.42765,0.848225,0.378175,,0.663425,1.28125,14,Oct
18,AL,15-Oct,1.003725,0.68945,0.4733,0.30685,0.046725,0.1059,0.08505,0.0537,0.35715,0.69405,0.47495,,0.7132,1.37245,15,Oct
19,AL,16-Oct,1.3383,0.81945,0.499125,0.437025,0.07475,0.303325,0.085925,0.0894,0.4592,1.141475,0.7137,,1.019975,1.9428,16,Oct
20,AL,17-Oct,1.13978,0.65482,0.40978000000000003,0.23016,0.04676,0.2253,0.07814,0.09437999999999999,0.38232,0.80682,0.3445,,0.5995199999999999,1.44882,17,Oct
21,AL,8-Nov,2.62485,1.9878,1.443625,0.2381,0.034,0.08875,0.094225,0.068125,0.9942,0.8427,2.9068,,3.569975,2.817125,8,Nov
22,AL,9-Nov,2.1928,1.213325,1.08515,0.200475,0.025275,0.118825,0.1349,0.157325,0.710875,0.95465,2.524275,,2.99845,2.1528,9,Nov
23,AL,10-Nov,1.9245599999999998,1.4375200000000001,1.0609600000000001,0.21166,0.03628,0.13512000000000002,0.08062000000000001,0.11656,0.5929800000000001,0.89366,1.5001200000000001,,1.89562,2.31696,10,Nov
24,AL,11-Nov,1.8249,1.0523799999999999,0.73826,0.14674,0.0688,0.45493999999999996,0.0783,0.43586,0.78194,0.9118,1.70826,,2.2298400000000003,1.9496799999999999,11,Nov
25,AL,12-Nov,2.133,1.5406,1.024525,0.247525,0.045925,0.233225,0.08915,0.122725,0.7049,1.2367,1.509525,,1.9797,2.757625,12,Nov
26,AL,13-Nov,1.4853,1.47875,0.84925,0.219225,0.05505,0.2522,0.0835,0.218125,0.540375,0.7158,0.88285,,1.2433,2.183175,13,Nov
27,AL,14-Nov,2.0905,1.38645,0.921425,0.274375,0.042825,0.180875,0.089575,0.12455,0.55935,0.67935,1.101625,,1.4747,2.055,14,Nov
28,AL,15-Nov,0.869775,0.752875,0.438225,0.13415,0.03995,0.23295,0.063275,0.2718,0.338425,0.6561,0.3962,,0.621925,1.39855,15,Nov
29,AL,16-Nov,1.12526,0.99572,0.5918399999999999,0.4379,0.05566,0.14552,0.09096,0.09218,0.3545,0.9571200000000001,0.8246399999999999,,1.06108,1.9376400000000003,16,Nov
30,AL,17-Nov,1.3091,1.364,0.77125,0.22725,0.03645,0.12875,0.08595,0.07055,0.3296,0.8685,0.427975,,0.6478,2.2187,17,Nov
31,AL,8-Dec,2.0126,1.49396,1.04138,0.09736,0.03972,0.22612,0.06304,0.15264,0.8822,0.49868,2.27604,,2.86446,1.98472,8,Dec
32,AL,9-Dec,2.39052,2.38988,1.55986,0.11244000000000001,0.016,0.04904,0.11032,0.056179999999999994,0.67842,0.4659,1.8847,,2.3372,2.8483400000000003,9,Dec
33,AL,10-Dec,2.31335,2.46895,1.52005,0.15505,0.0241,0.10295,0.07145,0.09125,0.6226,0.524575,2.600175,,3.015475,2.985175,10,Dec
34,AL,11-Dec,1.80985,1.57295,1.067675,0.1161,0.024625,0.109175,0.065225,0.087125,0.793875,0.603025,1.42145,,1.950975,2.166375,11,Dec
35,AL,12-Dec,1.77175,1.337625,0.9586,0.1465,0.02845,0.124825,0.0686,0.088025,0.63425,0.5475,0.80185,,1.2249,1.87645,12,Dec
36,AL,13-Dec,1.80794,1.494,1.07752,0.10302,0.025639999999999996,0.14904,0.06396,0.1475,0.59226,0.50672,0.5737,,0.96872,1.9926599999999999,13,Dec
37,AL,14-Dec,1.93956,1.7883200000000001,1.1778600000000001,0.10608,0.01842,0.07537999999999999,0.06702000000000001,0.0605,0.5086,0.3495,0.59588,,0.93514,2.1322400000000004,14,Dec
38,AL,15-Dec,1.241775,0.894725,0.57985,0.113925,0.033775,0.208525,0.065175,0.1768,0.42845,0.6781,0.2887,,0.574475,1.56205,15,Dec
