COLUMN_ID,COLUMN_NAME,UNIT,DESCRIPTION,DATA_TYPE,DATA_LENGTH,PRIMARY_KEY
1,PLANT_ID,,"Plant identification code.",NUMBER,"11,0",1
2,PLANT_TYPE,,"Description of the plant type.",CHAR,50,
3,MIN_STOM,,"Minimum stomatal resistance.",NUMBER,"8,2",
4,LIGHT_RES_COEFF,,"Light response coefficient.",NUMBER,"8,2",
5,OPT_TEMP,"degrees c","Optimum temperature; degrees C.",NUMBER,"8,2",
6,MAX_NO_STRESS_TEMP,"degrees c","Maximum no stress temperature; degrees C.",NUMBER,"8,2",
7,MIN_NO_STRESS_TEMP,"degrees c","Minimum no stress temperature; degrees C.",NUMBER,"8,2",
8,PROFILE_INDEX,,"Plant profile index.",NUMBER,"8,2",
9,CANOPY_HEIGHT,m,"Plant canopy height; m.",NUMBER,"8,2",
10,UPDATE_DATE,,"Date and time of last record update.",DATE,19,
